endpoint_index	meddra_pt_code	positive_frequency_decile	split
390	10017918	4	training
391	10017944	2	training
392	10017955	9	training
393	10018075	1	training
394	10018092	6	training
395	10018276	6	training
396	10018280	2	training
397	10018286	4	training
398	10018290	2	training
399	10018291	3	training
400	10018292	6	training
401	10018304	7	training
402	10018358	4	validation
403	10018388	2	test
404	10018429	6	training
405	10018484	5	test
406	10018498	3	test
407	10018627	7	training
408	10018651	4	training
409	10018659	5	training
410	10018687	2	training
411	10018691	1	training
412	10018735	4	training
413	10018800	4	training
414	10018814	0	training
415	10018830	7	training
416	10018836	7	test
417	10018838	9	training
418	10018852	8	validation
419	10018867	9	test
420	10018870	2	test
421	10018875	7	training
422	10018884	9	training
423	10018910	1	validation
424	10018916	4	training
425	10018932	0	training
426	10018964	8	training
427	10018985	4	training
428	10019016	1	training
429	10019022	9	training
430	10019063	7	training
431	10019070	6	training
432	10019075	6	training
433	10019079	0	training
434	10019114	4	training
435	10019196	7	training
436	10019211	8	validation
437	10019301	6	training
438	10019303	6	training
439	10019304	8	training
440	10019465	6	training
441	10019468	1	training
442	10019641	4	training
443	10019645	0	training
444	10019646	6	training
445	10019660	4	training
446	10019663	7	training
447	10019670	8	training
448	10019692	0	training
449	10019708	9	training
450	10019717	6	training
451	10019727	2	test
452	10019731	1	training
453	10019744	4	test
454	10019754	3	training
455	10019772	2	training
456	10019837	5	test
457	10019842	6	training
458	10019847	0	training
459	10019851	4	test
460	10019909	2	training
461	10019948	3	training
462	10019973	0	training
463	10019974	8	training
464	10020028	9	training
465	10020039	1	training
466	10020060	0	training
467	10020096	2	test
468	10020100	6	test
469	10020462	4	training
470	10020508	0	validation
471	10020524	5	training
472	10020568	0	training
473	10020578	5	test
474	10020583	7	test
475	10020591	1	training
476	10020603	8	training
477	10020608	0	validation
478	10020635	9	training
479	10020642	8	training
480	10020646	9	training
481	10020649	5	validation
482	10020679	3	training
483	10020705	2	training
484	10020710	0	training
485	10020745	0	training
486	10020751	5	training
487	10020765	5	training
488	10020772	9	training
489	10020802	3	validation
490	10020823	5	training
491	10020843	4	training
492	10020850	4	test
493	10020852	1	training
494	10020853	1	training
495	10020869	5	training
496	10020903	4	training
497	10020910	0	training
498	10020937	9	training
499	10020942	6	training
500	10020947	7	training
501	10020983	1	training
502	10020993	9	training
503	10021000	0	validation
504	10021015	9	training
505	10021021	3	training
506	10021027	8	test
507	10021030	0	training
508	10021036	9	training
509	10021058	4	training
510	10021089	0	training
511	10021097	9	test
512	10021113	3	training
513	10021114	8	training
514	10021118	1	training
515	10021133	1	training
516	10021137	7	training
517	10021138	2	training
518	10021143	9	test
519	10021328	7	training
520	10021333	4	test
521	10021518	7	training
522	10021519	8	training
523	10021576	3	test
524	10021597	3	training
525	10021630	1	training
526	10021639	5	training
527	10021654	3	training
528	10021688	3	training
529	10021789	8	training
530	10022000	5	training
531	10022004	5	test
532	10022013	1	training
533	10022016	2	validation
534	10022052	4	training
535	10022061	3	training
536	10022067	3	training
537	10022086	3	validation
538	10022093	1	training
539	10022107	0	training
540	10022116	9	test
541	10022437	9	training
542	10022523	5	training
543	10022524	2	test
544	10022562	5	training
545	10022594	3	training
546	10022595	9	training
547	10022611	8	training
548	10022680	4	test
549	10022687	6	training
550	10022694	2	training
551	10022972	7	test
552	10022998	5	training
553	10023003	7	validation
554	10023126	7	training
555	10023129	1	training
556	10023149	3	training
557	10023201	2	training
558	10023204	6	validation
559	10023215	6	validation
560	10023229	3	training
561	10023230	6	training
562	10023232	8	validation
563	10023237	1	training
564	10023379	1	validation
565	10023424	2	test
566	10023439	2	validation
567	10023469	2	training
568	10023509	6	training
569	10023547	5	test
570	10023567	0	training
571	10023572	6	training
572	10023644	2	training
573	10023676	6	training
574	10023804	2	training
575	10023874	3	training
576	10024119	2	training
577	10024264	8	validation
578	10024378	8	training
579	10024382	1	validation
580	10024384	9	test
581	10024419	1	training
582	10024453	5	training
583	10024570	2	training
584	10024574	3	test
585	10024612	1	test
586	10024648	0	training
587	10024670	7	training
588	10024690	7	test
589	10024738	6	test
590	10024770	7	validation
591	10024774	4	test
592	10024855	8	training
593	10024910	2	training
594	10024968	6	test
595	10025005	7	training
596	10025080	3	training
597	10025082	7	training
598	10025102	8	training
599	10025197	8	training
600	10025205	1	training
601	10025256	6	training
602	10025282	6	test
603	10025310	4	training
604	10025327	5	training
605	10025409	2	training
606	10025482	7	test
607	10025650	0	training
608	10026749	5	training
609	10026865	6	training
610	10026882	4	training
611	10026923	0	training
612	10027091	0	training
613	10027141	8	training
614	10027145	2	validation
615	10027175	7	training
616	10027199	1	validation
617	10027374	3	training
618	10027417	8	training
619	10027452	8	training
620	10027457	6	training
621	10027458	5	training
622	10027459	2	training
623	10027468	6	training
624	10027566	4	test
625	10027590	2	training
626	10027599	8	training
627	10027646	2	test
628	10027727	9	training
629	10027730	3	training
630	10027940	2	training
631	10027951	4	training
632	10028024	2	training
633	10028034	7	training
634	10028035	4	training
635	10028116	8	training
636	10028154	9	validation
637	10028200	7	test
638	10028224	8	training
639	10028228	5	training
640	10028245	4	training
641	10028289	5	training
642	10028309	2	training
643	10028330	4	validation
644	10028334	9	training
645	10028335	1	training
646	10028347	5	test
647	10028372	9	training
648	10028391	9	training
649	10028411	7	validation
650	10028521	2	training
651	10028533	6	test
652	10028596	8	validation
653	10028600	8	training
654	10028622	6	training
655	10028641	4	training
656	10028653	5	training
657	10028735	7	training
658	10028762	2	training
659	10028810	4	training
660	10028813	9	training
661	10028836	9	training
662	10028851	0	training
663	10028980	0	test
664	10028997	5	training
665	10029148	8	training
666	10029151	3	training
667	10029155	3	training
668	10029159	1	test
669	10029164	2	training
670	10029174	1	training
671	10029202	2	test
672	10029216	6	validation
673	10029223	7	training
674	10029240	1	training
675	10029279	1	training
676	10029282	5	training
677	10029328	2	training
678	10029331	9	training
679	10029350	3	training
680	10029354	9	training
681	10029366	8	training
682	10029368	4	training
683	10029410	6	training
684	10029412	3	training
685	10029446	6	training
686	10029470	0	test
687	10029547	1	training
688	10029783	4	training
689	10029816	1	test
690	10029864	0	training
691	10029883	9	test
692	10029898	5	test
693	10030041	0	training
694	10030094	4	validation
695	10030095	9	training
696	10030124	9	test
697	10030154	4	test
698	10030180	0	training
699	10030194	2	training
700	10030201	1	training
701	10030216	8	training
702	10030302	4	training
703	10030338	6	validation
704	10030963	8	training
705	10031009	7	training
706	10031123	7	validation
707	10031127	8	training
708	10031149	5	training
709	10031161	9	training
710	10031248	6	test
711	10031252	9	training
712	10031264	6	training
713	10031282	9	validation
714	10031298	6	training
715	10033072	1	training
716	10033078	5	test
717	10033132	3	training
718	10033295	7	training
719	10033307	2	training
720	10033318	7	validation
721	10033371	9	training
722	10033425	9	training
723	10033433	9	training
724	10033474	1	training
725	10033546	5	validation
726	10033553	5	training
727	10033557	9	training
728	10033609	3	validation
729	10033645	8	validation
730	10033647	8	test
731	10033649	4	test
732	10033661	9	training
733	10033664	6	test
734	10033666	3	training
735	10033775	8	test
736	10033799	1	training
737	10033864	6	training
738	10034010	4	validation
739	10034016	1	test
740	10034156	7	training
741	10034158	2	training
742	10034263	1	training
743	10034341	6	test
744	10034464	0	training
745	10034474	8	training
746	10034484	2	training
747	10034536	4	training
748	10034539	4	training
749	10034568	1	training
750	10034576	4	training
751	10034620	2	training
752	10034636	8	training
753	10034674	5	training
754	10034701	2	training
755	10034719	0	validation
756	10034721	1	validation
757	10034754	5	training
758	10034829	3	training
759	10034835	7	training
760	10034844	1	training
761	10034879	4	test
762	10034960	2	validation
763	10034972	0	training
764	10035155	3	test
765	10035226	6	training
766	10035484	0	training
767	10035528	9	test
768	10035598	9	training
769	10035600	5	training
770	10035618	3	test
771	10035623	4	training
772	10035664	9	training
773	10035669	8	test
774	10035717	0	training
775	10035734	2	training
776	10035742	7	validation
777	10035759	7	training
778	10036018	7	training
779	10036067	1	validation
780	10036105	5	test
781	10036142	3	training
782	10036316	5	training
783	10036410	0	training
784	10036556	0	test
785	10036590	3	training
786	10036653	7	training
787	10036772	3	training
788	10036790	8	training
789	10036807	3	training
790	10036975	2	validation
791	10036978	0	test
792	10037014	3	validation
793	10037032	6	test
794	10037063	7	training
795	10037087	7	training
796	10037128	2	training
797	10037153	3	training
798	10037162	0	test
799	10037211	3	training
800	10037313	3	training
801	10037368	8	training
802	10037377	9	test
803	10037383	8	training
804	10037391	2	training
805	10037394	4	validation
806	10037400	9	training
807	10037410	1	test
808	10037423	9	training
809	10037448	4	training
810	10037469	4	training
811	10037549	5	test
812	10037569	6	training
813	10037596	6	validation
814	10037660	9	training
815	10037779	5	test
816	10037802	3	training
817	10037833	7	training
818	10037844	7	training
819	10037855	5	training
820	10037858	3	training
821	10037867	3	training
822	10037868	6	training
823	10037876	3	test
824	10037884	4	training
825	10037888	1	test
826	10038063	8	training
827	10038153	7	training
828	10038263	1	validation
829	10038378	3	training
830	10038381	2	validation
831	10038423	8	test
832	10038428	7	training
833	10038435	9	training
834	10038436	9	test
835	10038444	9	training
836	10038537	1	test
837	10038540	7	validation
838	10038642	0	training
839	10038661	3	test
840	10038669	6	training
841	10038678	4	training
842	10038683	3	training
843	10038687	8	training
844	10038695	9	training
845	10038712	4	training
846	10038743	6	training
847	10038776	4	test
848	10038867	0	training
849	10038980	1	test
850	10039020	8	training
851	10039073	7	training
852	10039083	6	test
853	10039085	8	training
854	10039101	5	training
855	10039109	5	training
856	10039117	9	test
857	10039163	4	training
858	10039203	7	training
859	10039227	8	training
860	10039424	1	training
861	10039580	6	test
862	10039621	0	training
863	10039626	3	training
864	10039674	7	test
865	10039722	8	training
866	10039796	3	training
867	10039801	4	training
868	10039897	6	training
869	10040026	1	test
870	10040030	4	test
871	10040047	9	training
872	10040070	9	validation
873	10040108	6	training
874	10040250	0	training
875	10040477	1	training
876	10040560	7	training
877	10040617	1	training
878	10040639	5	training
879	10040741	7	test
880	10040742	5	training
881	10040744	1	training
882	10040752	8	training
883	10040753	9	training
884	10040808	1	training
885	10040829	4	training
886	10040831	4	training
887	10040844	5	training
888	10040865	1	training
889	10040867	4	training
890	10040872	1	training
891	10040880	0	training
892	10040882	7	training
893	10040943	8	training
894	10040979	9	training
895	10040984	8	training
896	10041101	7	test
897	10041235	5	training
898	10041243	4	training
899	10041347	0	test
900	10041349	9	training
901	10041466	6	test
902	10041540	8	training
903	10041541	7	training
904	10041549	3	validation
905	10041569	5	training
906	10041591	9	validation
907	10041660	6	training
908	10041807	5	training
909	10041823	3	training
910	10041834	0	training
911	10041962	3	training
912	10042033	6	training
913	10042101	0	training
914	10042128	8	training
915	10042209	8	test
916	10042212	5	validation
917	10042316	4	training
918	10042343	0	test
919	10042361	7	training
920	10042434	4	training
921	10042458	8	training
922	10042464	7	training
923	10042602	6	validation
924	10042604	7	training
925	10042609	3	test
926	10042674	8	training
927	10042682	5	training
928	10042727	4	training
929	10042772	9	training
930	10042858	5	training
931	10042868	4	validation
932	10042945	4	training
933	10043071	9	training
934	10043089	6	training
935	10043118	8	validation
936	10043169	1	test
937	10043220	3	training
938	10043224	7	test
939	10043239	1	training
940	10043248	1	training
941	10043255	5	training
942	10043261	0	training
943	10043269	0	test
944	10043408	7	training
945	10043414	3	training
946	10043417	0	training
947	10043431	3	test
948	10043458	3	training
949	10043521	3	training
950	10043528	0	training
951	10043554	9	training
952	10043570	4	test
953	10043595	5	test
954	10043607	6	test
955	10043645	3	training
956	10043648	0	validation
957	10043709	3	validation
958	10043744	4	validation
959	10043827	2	training
960	10043882	5	test
961	10043903	2	training
962	10043951	1	training
963	10043991	0	test
964	10044016	7	training
965	10044034	6	training
966	10044044	7	training
967	10044055	7	test
968	10044066	5	training
969	10044221	0	training
970	10044223	7	test
971	10044390	8	training
972	10044439	1	training
973	10044565	9	test
974	10044640	9	validation
975	10044684	0	test
976	10044755	1	validation
977	10045170	4	training
978	10045285	3	training
979	10045458	2	training
980	10045555	8	validation
981	10046274	7	training
982	10046306	9	training
983	10046542	2	training
984	10046543	8	training
985	10046555	8	training
986	10046571	9	test
987	10046572	1	training
988	10046735	4	test
989	10046798	3	training
990	10046910	0	training
991	10046914	2	training
992	10046996	4	training
993	10047115	5	training
994	10047195	0	training
995	10047216	2	training
996	10047249	0	validation
997	10047281	1	training
998	10047289	8	training
999	10047290	7	training
1000	10047295	6	training
1001	10047302	8	training
1002	10047340	6	test
1003	10047348	2	training
1004	10047386	0	training
1005	10047461	4	training
1006	10047513	8	training
1007	10047531	4	training
1008	10047543	0	test
1009	10047571	5	training
1010	10047609	4	training
1011	10047626	8	test
1012	10047654	1	validation
1013	10047700	9	training
1014	10047895	9	test
1015	10047899	9	test
1016	10047920	0	training
1017	10047924	8	training
1018	10047942	9	training
1019	10047943	8	training
1020	10048010	3	test
1021	10048031	5	training
1022	10048038	5	training
1023	10048049	4	training
1024	10048294	9	test
1025	10048302	4	training
1026	10048334	6	training
1027	10048393	5	training
1028	10048439	8	training
1029	10048561	2	test
1030	10048595	3	training
1031	10048620	1	training
1032	10048624	2	validation
1033	10048629	0	training
1034	10048685	3	test
1035	10048706	7	training
1036	10048709	5	validation
1037	10048762	5	test
1038	10048777	0	test
1039	10048780	1	test
1040	10048799	3	training
1041	10048832	1	training
1042	10048858	7	test
1043	10048865	3	training
1044	10048919	0	training
1045	10048948	2	test
1046	10048959	4	training
1047	10048962	4	training
1048	10048964	0	training
1049	10048975	0	test
1050	10049088	9	training
1051	10049119	9	validation
1052	10049146	0	validation
1053	10049151	6	training
1054	10049177	2	training
1055	10049187	3	training
1056	10049193	5	training
1057	10049398	0	training
1058	10049414	8	training
1059	10049438	9	training
1060	10049442	0	training
1061	10049447	2	test
1062	10049460	6	training
1063	10049470	5	training
1064	10049564	0	training
1065	10049666	3	test
1066	10049694	8	training
1067	10049765	0	test
1068	10049771	3	validation
1069	10049773	8	test
1070	10049796	6	test
1071	10049803	2	training
1072	10049816	2	training
1073	10049848	7	training
1074	10049866	1	test
1075	10049947	0	training
1076	10049948	0	training
1077	10050012	0	validation
1078	10050031	5	validation
1079	10050040	3	training
1080	10050207	1	test
1081	10050219	5	test
1082	10050256	3	training
1083	10050296	9	training
1084	10050337	2	training
1085	10050380	4	training
1086	10050510	5	training
1087	10050528	8	test
1088	10050558	4	training
1089	10050584	9	training
1090	10050637	4	test
1091	10050778	4	test
1092	10050819	8	test
1093	10050845	5	training
1094	10050904	6	training
1095	10050953	5	training
1096	10050954	7	training
1097	10051017	4	training
1098	10051055	9	test
1099	10051076	1	training
1100	10051077	2	training
1101	10051078	4	training
1102	10051082	0	training
1103	10051093	0	test
1104	10051128	2	training
1105	10051290	0	validation
1106	10051301	3	training
1107	10051327	2	training
1108	10051379	4	training
1109	10051398	9	training
1110	10051482	2	training
1111	10051576	0	training
1112	10051589	4	training
1113	10051592	6	training
1114	10051608	4	training
1115	10051612	3	test
1116	10051728	2	training
1117	10051753	4	training
1118	10051792	5	training
1119	10051837	4	training
1120	10052066	2	training
1121	10052076	4	test
1122	10052238	3	training
1123	10052251	1	training
1124	10052293	6	test
1125	10052302	2	test
1126	10052337	6	training
1127	10052428	7	training
1128	10052460	6	validation
1129	10052576	3	test
1130	10052804	2	training
1131	10052840	2	training
1132	10052897	3	validation
1133	10052904	7	test
1134	10053156	6	test
1135	10053159	1	test
1136	10053198	5	training
1137	10053213	2	training
1138	10053405	4	training
1139	10053555	1	test
1140	10053573	1	validation
1141	10053631	1	training
1142	10053762	6	training
1143	10053777	3	training
1144	10053840	2	training
1145	10054107	4	training
1146	10054196	0	test
1147	10054208	5	training
1148	10054236	2	training
1149	10054263	0	training
1150	10054786	2	test
1151	10054787	0	test
1152	10054813	3	training
1153	10054889	5	test
1154	10055014	0	test
1155	10055041	3	test
1156	10055113	2	training
1157	10055798	6	training
1158	10055870	0	training
1159	10056325	2	training
1160	10056342	8	validation
1161	10056370	6	training
1162	10056407	5	training
1163	10056430	5	training
1164	10056529	4	training
1165	10056812	4	training
1166	10056819	4	training
1167	10057040	1	training
1168	10057320	4	test
1169	10057371	4	training
1170	10057372	3	training
1171	10057581	2	training
1172	10057666	4	test
1173	10057667	7	training
1174	10057668	5	training
1175	10057765	0	training
1176	10057840	6	training
1177	10057867	4	training
1178	10057970	5	training
1179	10058046	5	training
1180	10058080	9	validation
1181	10058097	0	training
1182	10058108	7	training
1183	10058151	2	test
1184	10058267	5	training
1185	10058360	0	validation
1186	10058467	5	training
1187	10058648	0	training
1188	10058709	2	training
1189	10058818	2	training
1190	10058854	0	training
1191	10058907	1	training
1192	10058919	5	training
1193	10058920	8	test
1194	10059056	3	validation
1195	10059245	2	validation
1196	10059282	5	test
1197	10059442	2	validation
1198	10059570	9	test
1199	10059865	0	training
1200	10059866	1	training
1201	10059895	6	training
1202	10060734	2	training
1203	10060795	5	test
1204	10060800	6	training
1205	10060820	7	training
1206	10060860	2	training
1207	10060862	3	test
1208	10060921	0	test
1209	10060945	6	training
1210	10060946	4	training
1211	10060954	5	training
1212	10061011	1	training
1213	10061024	6	training
1214	10061043	4	training
1215	10061104	3	test
1216	10061105	6	training
1217	10061111	4	validation
1218	10061114	9	test
1219	10061117	1	training
1220	10061124	6	training
1221	10061126	4	training
1222	10061159	4	training
1223	10061161	3	test
1224	10061169	0	validation
1225	10061200	1	training
1226	10061218	7	training
1227	10061224	3	training
1228	10061225	6	training
1229	10061229	6	test
1230	10061246	9	validation
1231	10061255	4	test
1232	10061256	3	training
1233	10061257	4	training
1234	10061259	3	test
1235	10061273	8	training
1236	10061284	8	training
1237	10061289	2	test
1238	10061296	1	training
1239	10061309	5	validation
1240	10061318	1	test
1241	10061355	4	training
1242	10061366	0	training
1243	10061368	5	training
1244	10061372	2	training
1245	10061394	5	training
1246	10061406	6	validation
1247	10061422	6	training
1248	10061428	9	training
1249	10061461	6	training
1250	10061471	5	training
1251	10061472	1	test
1252	10061481	8	training
1253	10061520	7	training
1254	10061521	7	training
1255	10061529	3	test
1256	10061532	2	training
1257	10061536	4	training
1258	10061593	5	training
1259	10061598	1	validation
1260	10061599	3	training
1261	10061619	8	training
1262	10061623	0	training
1263	10061728	7	training
1264	10061744	3	training
1265	10061818	8	test
1266	10061819	2	test
1267	10061822	3	training
1268	10061835	4	test
1269	10061873	2	test
1270	10061877	5	test
1271	10061880	4	validation
1272	10061920	7	test
1273	10061998	5	validation
1274	10062015	0	training
1275	10062016	3	training
1276	10062042	6	training
1277	10062060	9	training
1278	10062132	4	test
1279	10062189	2	test
1280	10062190	5	validation
1281	10062211	3	training
1282	10062237	9	training
1283	10062244	5	test
1284	10062254	0	test
1285	10062352	3	test
1286	10062355	8	training
1287	10062501	5	training
1288	10062506	4	test
1289	10062519	3	training
1290	10062544	7	training
1291	10062585	4	training
1292	10062599	3	training
1293	10062713	0	training
1294	10062717	2	training
1295	10062764	2	training
1296	10063495	0	training
1297	10063550	5	validation
1298	10063560	1	training
1299	10063581	1	training
1300	10063655	0	training
1301	10063670	3	training
1302	10063743	8	test
1303	10063829	3	training
1304	10063889	3	training
1305	10064108	4	validation
1306	10064211	2	test
1307	10064294	4	training
1308	10064307	2	training
1309	10064353	3	training
1310	10064355	2	test
1311	10064658	9	test
1312	10064687	7	training
1313	10064780	6	training
1314	10064911	3	training
1315	10065166	0	training
1316	10065553	7	test
1317	10065558	7	test
1318	10065612	6	test
1319	10065679	3	training
1320	10065687	5	training
1321	10066169	1	training
1322	10066260	1	training
1323	10066262	0	training
1324	10066392	0	training
1325	10066901	0	training
1326	10067125	1	training
1327	10067152	2	test
1328	10067221	0	test
1329	10067286	6	training
1330	10067450	2	training
1331	10067467	7	training
1332	10067584	7	training
1333	10067585	9	training
1334	10067620	0	training
1335	10067621	6	training
1336	10067946	0	training
1337	10067967	1	test
1338	10068319	7	test
1339	10069327	1	training
1340	10069339	5	training
1341	10069690	4	training
1342	10070488	4	training
1343	10070511	2	training
1344	10070863	8	validation
1345	10070878	1	training
