endpoint_index	meddra_pt_code	meddra_pt_name	positive_frequency_decile	split
68	10003246	Arthritis	9	validation
69	10003285	Arthropathy	8	validation
70	10003399	Arthropod bite	3	validation
71	10003445	Ascites	8	training
72	10003481	Aspartate aminotransferase increased	9	training
73	10003488	Aspergillosis	2	training
74	10003504	Aspiration	7	training
75	10003549	Asthenia	9	training
76	10003553	Asthma	9	validation
77	10003591	Ataxia	6	training
78	10003598	Atelectasis	9	training
79	10003658	Atrial fibrillation	9	test
80	10003662	Atrial flutter	7	training
81	10003668	Atrial tachycardia	3	training
82	10003671	Atrioventricular block	4	training
83	10003673	Atrioventricular block complete	5	training
84	10003674	Atrioventricular block first degree	7	validation
85	10003677	Atrioventricular block second degree	1	training
86	10003694	Atrophy	1	validation
87	10003736	Attention deficit/hyperactivity disorder	2	test
88	10003885	Azotaemia	7	validation
89	10003983	Back disorder	5	training
90	10003986	Back injury	5	test
91	10003988	Back pain	9	training
92	10003997	Bacteraemia	7	test
93	10004137	Barrett's oesophagus	3	validation
94	10004146	Basal cell carcinoma	6	test
95	10004446	Benign prostatic hyperplasia	6	training
96	10004663	Biliary colic	0	training
97	10004939	Bipolar I disorder	2	training
98	10005169	Blindness	2	test
99	10005191	Blister	6	training
100	10005287	Blood albumin decreased	7	training
101	10005328	Blood amylase increased	0	training
102	10005364	Blood bilirubin increased	8	training
103	10005395	Blood calcium decreased	6	training
104	10005396	Blood calcium increased	1	training
105	10005419	Blood chloride decreased	5	test
106	10005423	Blood cholesterol abnormal	1	training
107	10005425	Blood cholesterol increased	9	training
108	10005464	Blood creatine increased	2	training
109	10005470	Blood creatine phosphokinase increased	7	training
110	10005483	Blood creatinine increased	9	validation
111	10005488	Blood culture positive	5	training
112	10005554	Blood glucose abnormal	1	training
113	10005555	Blood glucose decreased	6	training
114	10005557	Blood glucose increased	8	training
115	10005619	Blood iron decreased	1	training
116	10005630	Blood lactate dehydrogenase increased	7	training
117	10005654	Blood magnesium decreased	6	training
118	10005724	Blood potassium decreased	8	training
119	10005725	Blood potassium increased	7	test
120	10005734	Blood pressure decreased	8	training
121	10005737	Blood pressure diastolic decreased	3	training
122	10005746	Blood pressure fluctuation	3	training
123	10005750	Blood pressure increased	7	training
124	10005760	Blood pressure systolic increased	5	training
125	10005802	Blood sodium decreased	8	validation
126	10005839	Blood triglycerides increased	8	training
127	10005851	Blood urea increased	9	training
128	10005861	Blood uric acid increased	2	validation
129	10005911	Body temperature increased	2	validation
130	10005956	Bone disorder	9	training
131	10006002	Bone pain	8	training
132	10006093	Bradycardia	9	test
133	10006187	Breast cancer	3	training
134	10006272	Breast mass	5	training
135	10006326	Breath odour	0	training
136	10006445	Bronchiectasis	3	training
137	10006451	Bronchitis	9	training
138	10006458	Bronchitis chronic	3	training
139	10006469	Bronchopneumonia	6	training
140	10006473	Bronchopulmonary aspergillosis	4	test
141	10006482	Bronchospasm	6	training
142	10006514	Bruxism	3	training
143	10006578	Bundle branch block	0	validation
144	10006580	Bundle branch block left	7	test
145	10006582	Bundle branch block right	6	training
146	10006784	Burning sensation	5	test
147	10006811	Bursitis	8	training
148	10006825	C-reactive protein increased	8	training
149	10006895	Cachexia	5	training
150	10006924	Caesarean section	2	training
151	10006956	Calcium deficiency	3	test
152	10007152	Candidiasis	7	training
153	10007515	Cardiac arrest	8	training
154	10007554	Cardiac failure	9	test
155	10007556	Cardiac failure acute	3	training
156	10007558	Cardiac failure chronic	1	validation
157	10007559	Cardiac failure congestive	9	training
158	10007586	Cardiac murmur	8	training
159	10007598	Cardiac pacemaker insertion	2	training
160	10007610	Cardiac tamponade	1	test
161	10007617	Cardio-respiratory arrest	8	test
162	10007625	Cardiogenic shock	6	validation
163	10007632	Cardiomegaly	9	test
164	10007636	Cardiomyopathy	8	training
165	10007687	Carotid artery stenosis	7	training
166	10007697	Carpal tunnel syndrome	8	training
167	10007739	Cataract	8	training
168	10007810	Catheter related infection	1	test
169	10007815	Catheterisation cardiac	3	training
170	10007882	Cellulitis	9	validation
171	10008096	Cerebral atrophy	7	training
172	10008111	Cerebral haemorrhage	6	training
173	10008118	Cerebral infarction	7	training
174	10008120	Cerebral ischaemia	5	training
175	10008190	Cerebrovascular accident	8	test
176	10008196	Cerebrovascular disorder	0	test
177	10008313	Cervical spinal stenosis	4	validation
178	10008469	Chest discomfort	8	training
179	10008479	Chest pain	9	training
180	10008499	Chest X-ray abnormal	5	training
181	10008531	Chills	7	test
182	10008589	Choking	2	training
183	10008604	Cholangitis	0	training
184	10008611	Cholecystectomy	4	training
185	10008612	Cholecystitis	7	training
186	10008614	Cholecystitis acute	4	test
187	10008617	Cholecystitis chronic	7	training
188	10008629	Cholelithiasis	9	training
189	10008635	Cholestasis	7	training
190	10008748	Chorea	1	validation
191	10008796	Chromaturia	2	test
192	10009033	Chronic obstructive pulmonary disease	9	training
193	10009137	Chronic sinusitis	5	validation
194	10009192	Circulatory collapse	6	training
195	10009245	Clavicle fracture	1	training
196	10009657	Clostridium difficile colitis	8	test
197	10009802	Coagulopathy	8	training
198	10009866	Cold sweat	3	test
199	10009887	Colitis	7	test
200	10009895	Colitis ischaemic	5	training
201	10009900	Colitis ulcerative	2	training
202	10009944	Colon cancer	1	validation
203	10010003	Colonic polyp	6	training
204	10010071	Coma	7	training
205	10010144	Completed suicide	7	training
206	10010185	Complications of transplanted kidney	1	training
207	10010214	Compression fracture	7	training
208	10010235	Computerised tomogram abnormal	6	test
209	10010254	Concussion	1	training
210	10010264	Condition aggravated	8	training
211	10010276	Conduction disorder	1	training
212	10010305	Confusional state	9	training
213	10010719	Conjunctival haemorrhage	0	validation
214	10010741	Conjunctivitis	6	training
215	10010774	Constipation	9	training
216	10010904	Convulsion	8	test
217	10010947	Coordination abnormal	4	test
218	10010968	Cor pulmonale	1	training
219	10011078	Coronary artery disease	9	training
220	10011086	Coronary artery occlusion	6	training
221	10011089	Coronary artery stenosis	7	training
222	10011219	Costochondritis	2	training
223	10011224	Cough	9	training
224	10011372	Creatinine renal clearance decreased	1	validation
225	10011376	Crepitations	3	training
226	10011401	Crohn's disease	5	training
227	10011469	Crying	3	training
228	10011640	Culture urine positive	2	training
229	10011703	Cyanosis	5	training
230	10011732	Cyst	4	training
231	10011781	Cystitis	6	training
232	10011793	Cystitis haemorrhagic	1	test
233	10011831	Cytomegalovirus infection	6	training
234	10011878	Deafness	7	training
235	10011891	Deafness neurosensory	2	training
236	10011906	Death	5	validation
237	10011953	Decreased activity	0	test
238	10011971	Decreased interest	6	training
239	10011985	Decubitus ulcer	7	training
240	10012174	Dehydration	9	training
241	10012218	Delirium	8	training
242	10012239	Delusion	5	validation
243	10012267	Dementia	7	training
244	10012271	Dementia Alzheimer's type	3	training
245	10012305	Demyelination	1	training
246	10012318	Dental caries	8	training
247	10012335	Dependence	2	training
248	10012373	Depressed level of consciousness	8	training
249	10012374	Depressed mood	5	training
250	10012378	Depression	9	training
251	10012426	Dermal cyst	1	training
252	10012431	Dermatitis	6	validation
253	10012432	Dermatitis acneiform	0	training
254	10012441	Dermatitis bullous	2	training
255	10012442	Dermatitis contact	0	training
256	10012455	Dermatitis exfoliative	4	validation
257	10012601	Diabetes mellitus	9	test
258	10012607	Diabetes mellitus inadequate control	9	training
259	10012613	Diabetes mellitus non-insulin-dependent	4	training
260	10012650	Diabetic coma	5	training
261	10012671	Diabetic ketoacidosis	7	test
262	10012680	Diabetic neuropathy	8	training
263	10012689	Diabetic retinopathy	5	training
264	10012735	Diarrhoea	9	training
265	10012794	Difficulty in walking	2	training
266	10013002	Dilatation atrial	5	training
267	10013012	Dilatation ventricular	6	training
268	10013036	Diplopia	6	training
269	10013050	Disability	7	training
270	10013082	Discomfort	3	training
271	10013395	Disorientation	7	training
272	10013442	Disseminated intravascular coagulation	8	training
273	10013496	Disturbance in attention	6	training
274	10013538	Diverticulitis	8	training
275	10013554	Diverticulum	9	test
276	10013559	Diverticulum intestinal	6	test
277	10013573	Dizziness	9	validation
278	10013578	Dizziness postural	1	training
279	10013654	Drug abuse	5	test
280	10013663	Drug dependence	7	training
281	10013678	Drug effect decreased	2	training
282	10013687	Drug eruption	5	test
283	10013700	Drug hypersensitivity	8	training
284	10013709	Drug ineffective	4	test
285	10013710	Drug interaction	9	test
286	10013722	Drug level increased	5	test
287	10013746	Drug toxicity	7	test
288	10013754	Drug withdrawal syndrome	6	training
289	10013774	Dry eye	4	training
290	10013781	Dry mouth	8	validation
291	10013786	Dry skin	6	training
292	10013836	Duodenal ulcer	4	test
293	10013839	Duodenal ulcer haemorrhage	0	training
294	10013864	Duodenitis	6	training
295	10013886	Dysaesthesia	2	validation
296	10013887	Dysarthria	8	training
297	10013911	Dysgeusia	6	test
298	10013916	Dyskinesia	8	test
299	10013946	Dyspepsia	9	training
300	10013950	Dysphagia	9	training
301	10013952	Dysphonia	7	training
302	10013968	Dyspnoea	9	training
303	10013971	Dyspnoea exertional	9	training
304	10013974	Dyspnoea paroxysmal nocturnal	2	training
305	10013983	Dystonia	4	training
306	10013990	Dysuria	8	training
307	10014011	Ear infection	2	test
308	10014020	Ear pain	8	training
309	10014062	Eating disorder	4	training
310	10014080	Ecchymosis	7	test
311	10014184	Eczema	6	training
312	10014363	Electrocardiogram abnormal	6	training
313	10014380	Electrocardiogram QRS complex prolonged	0	validation
314	10014387	Electrocardiogram QT prolonged	7	training
315	10014391	Electrocardiogram ST segment depression	2	training
316	10014392	Electrocardiogram ST segment elevation	0	training
317	10014408	Electroencephalogram abnormal	0	validation
318	10014418	Electrolyte imbalance	7	training
319	10014498	Embolic stroke	0	validation
320	10014551	Emotional disorder	8	training
321	10014561	Emphysema	8	test
322	10014581	Encephalitis	1	training
323	10014625	Encephalopathy	8	test
324	10014665	Endocarditis	3	test
325	10014866	Enteritis	2	training
326	10014893	Enterocolitis	3	validation
327	10014945	Eosinophil count increased	2	training
328	10014950	Eosinophilia	6	training
329	10015037	Epilepsy	4	training
330	10015090	Epistaxis	8	test
331	10015108	Epstein-Barr virus infection	1	test
332	10015137	Eructation	2	training
333	10015145	Erysipelas	0	training
334	10015150	Erythema	7	training
335	10015218	Erythema multiforme	2	training
336	10015296	Escherichia sepsis	1	training
337	10015488	Essential hypertension	6	training
338	10015688	Exostosis	8	training
339	10015832	Extrapyramidal disorder	7	training
340	10015856	Extrasystoles	2	test
341	10015916	Eye disorder	0	test
342	10015946	Eye irritation	0	training
343	10015958	Eye pain	2	test
344	10015995	Eyelid ptosis	1	training
345	10016029	Face oedema	4	test
346	10016042	Facial bones fracture	1	training
347	10016059	Facial pain	5	validation
348	10016092	Faecal incontinence	5	training
349	10016100	Faeces discoloured	3	test
350	10016165	Failure to thrive	6	training
351	10016173	Fall	9	training
352	10016215	Family stress	3	training
353	10016256	Fatigue	9	training
354	10016275	Fear	8	training
355	10016288	Febrile neutropenia	9	training
356	10016322	Feeling abnormal	5	training
357	10016326	Feeling cold	0	test
358	10016330	Feeling drunk	0	training
359	10016334	Feeling hot	4	training
360	10016338	Feeling jittery	3	training
361	10016450	Femoral neck fracture	1	validation
362	10016454	Femur fracture	4	training
363	10016581	Fibrin D dimer increased	1	training
364	10016642	Fibrosis	6	training
365	10016667	Fibula fracture	2	training
366	10016717	Fistula	4	training
367	10016750	Flank pain	7	training
368	10016759	Flat affect	0	test
369	10016766	Flatulence	5	training
370	10016803	Fluid overload	8	training
371	10016807	Fluid retention	7	training
372	10016825	Flushing	6	validation
373	10016970	Foot fracture	8	validation
374	10017062	Formication	0	training
375	10017367	Frequent bowel movements	0	test
376	10017413	Full blood count decreased	2	training
377	10017533	Fungal infection	7	test
378	10017577	Gait disturbance	9	training
379	10017626	Gallbladder disorder	7	training
380	10017642	Gallbladder injury	0	training
381	10017693	Gamma-glutamyltransferase increased	8	test
382	10017711	Gangrene	2	training
383	10017817	Gastric polyps	0	training
384	10017822	Gastric ulcer	7	training
385	10017826	Gastric ulcer haemorrhage	3	training
386	10017853	Gastritis	9	training
387	10017865	Gastritis erosive	5	training
388	10017885	Gastrooesophageal reflux disease	9	training
389	10017888	Gastroenteritis	8	validation
390	10017918	Gastroenteritis viral	4	training
391	10017944	Gastrointestinal disorder	2	training
392	10017955	Gastrointestinal haemorrhage	9	training
393	10018075	Generalised anxiety disorder	1	validation
394	10018092	Generalised oedema	6	training
395	10018276	Gingival bleeding	6	training
396	10018280	Gingival disorder	2	training
397	10018286	Gingival pain	4	training
398	10018290	Gingival recession	2	training
399	10018291	Gingival swelling	3	test
400	10018292	Gingivitis	6	training
401	10018304	Glaucoma	7	validation
402	10018358	Glomerular filtration rate decreased	4	training
403	10018388	Glossodynia	2	test
404	10018429	Glucose tolerance impaired	6	training
405	10018484	Glycosylated haemoglobin increased	5	training
406	10018498	Goitre	3	training
407	10018627	Gout	7	training
408	10018651	Graft versus host disease	4	training
409	10018659	Grand mal convulsion	5	training
410	10018687	Granulocytopenia	2	training
411	10018691	Granuloma	1	training
412	10018735	Groin pain	4	training
413	10018800	Gynaecomastia	4	test
414	10018814	Haemangioma	0	training
415	10018830	Haematemesis	7	training
416	10018836	Haematochezia	7	training
417	10018838	Haematocrit decreased	9	validation
418	10018852	Haematoma	8	training
419	10018867	Haematuria	9	training
420	10018870	Blood urine present	2	training
421	10018875	Haemodialysis	7	training
422	10018884	Haemoglobin decreased	9	training
423	10018910	Haemolysis	1	training
424	10018916	Haemolytic anaemia	4	test
425	10018932	Haemolytic uraemic syndrome	0	training
426	10018964	Haemoptysis	8	test
427	10018985	Haemorrhage intracranial	4	training
428	10019016	Haemorrhagic stroke	1	validation
429	10019022	Haemorrhoids	9	test
430	10019063	Hallucination	7	test
431	10019070	Hallucination, auditory	6	test
432	10019075	Hallucination, visual	6	training
433	10019079	Hallucinations, mixed	0	training
434	10019114	Hand fracture	4	training
435	10019196	Head injury	7	training
436	10019211	Headache	8	training
437	10019301	Heart rate decreased	6	training
438	10019303	Heart rate increased	6	test
439	10019304	Heart rate irregular	8	training
440	10019465	Hemiparesis	6	training
441	10019468	Hemiplegia	1	training
442	10019641	Hepatic cirrhosis	4	training
443	10019645	Hepatic congestion	0	training
444	10019646	Hepatic cyst	6	validation
445	10019660	Hepatic encephalopathy	4	training
446	10019663	Hepatic failure	7	validation
447	10019670	Hepatic function abnormal	8	training
448	10019692	Hepatic necrosis	0	training
449	10019708	Hepatic steatosis	9	validation
450	10019717	Hepatitis	6	training
451	10019727	Hepatitis acute	2	test
452	10019731	Hepatitis B	1	training
453	10019744	Hepatitis C	4	training
454	10019754	Hepatitis cholestatic	3	training
455	10019772	Hepatitis fulminant	2	training
456	10019837	Hepatocellular injury	5	test
457	10019842	Hepatomegaly	6	training
458	10019847	Hepatosplenomegaly	0	validation
459	10019851	Hepatotoxicity	4	training
460	10019909	Hernia	2	training
461	10019948	Herpes simplex	3	training
462	10019973	Herpes virus infection	0	training
463	10019974	Herpes zoster	8	training
464	10020028	Hiatus hernia	9	training
465	10020039	Hiccups	1	validation
466	10020060	High density lipoprotein decreased	0	training
467	10020096	Hip arthroplasty	2	training
468	10020100	Hip fracture	6	test
469	10020462	Humerus fracture	4	training
470	10020508	Hydrocephalus	0	training
471	10020524	Hydronephrosis	5	training
472	10020568	Hyperaesthesia	0	validation
473	10020578	Hyperbilirubinaemia	5	test
474	10020583	Hypercalcaemia	7	test
475	10020591	Hypercapnia	1	training
476	10020603	Hypercholesterolaemia	8	training
477	10020608	Hypercoagulation	0	training
478	10020635	Hyperglycaemia	9	test
479	10020642	Hyperhidrosis	8	validation
480	10020646	Hyperkalaemia	9	training
481	10020649	Hyperkeratosis	5	training
482	10020679	Hypernatraemia	3	training
483	10020705	Hyperparathyroidism	2	test
484	10020710	Hyperphagia	0	training
485	10020745	Hyperreflexia	0	training
486	10020751	Hypersensitivity	5	training
487	10020765	Hypersomnia	5	training
488	10020772	Hypertension	9	training
489	10020802	Hypertensive crisis	3	training
490	10020823	Hypertensive heart disease	5	training
491	10020843	Hyperthermia	4	training
492	10020850	Hyperthyroidism	4	training
493	10020852	Hypertonia	1	training
494	10020853	Hypertonic bladder	1	training
495	10020869	Hypertriglyceridaemia	5	training
496	10020903	Hyperuricaemia	4	test
497	10020910	Hyperventilation	0	training
498	10020937	Hypoaesthesia	9	test
499	10020942	Hypoalbuminaemia	6	training
500	10020947	Hypocalcaemia	7	training
501	10020983	Hypogammaglobulinaemia	1	validation
502	10020993	Hypoglycaemia	9	training
503	10021000	Hypoglycaemic coma	0	test
504	10021015	Hypokalaemia	9	training
505	10021021	Hypokinesia	3	test
506	10021027	Hypomagnesaemia	8	training
507	10021030	Hypomania	0	test
508	10021036	Hyponatraemia	9	training
509	10021058	Hypophosphataemia	4	training
510	10021089	Hyporeflexia	0	training
511	10021097	Hypotension	9	test
512	10021113	Hypothermia	3	training
513	10021114	Hypothyroidism	8	test
514	10021118	Hypotonia	1	training
515	10021133	Hypoventilation	1	test
516	10021137	Hypovolaemia	7	test
517	10021138	Hypovolaemic shock	2	training
518	10021143	Hypoxia	9	test
519	10021328	Ileus	7	training
520	10021333	Ileus paralytic	4	training
521	10021518	Impaired gastric emptying	7	training
522	10021519	Impaired healing	8	training
523	10021576	Inadequate analgesia	3	test
524	10021597	Inappropriate schedule of drug administration	3	training
525	10021630	Incoherent	1	training
526	10021639	Incontinence	5	training
527	10021654	Increased appetite	3	training
528	10021688	Increased tendency to bruise	3	validation
529	10021789	Infection	8	validation
530	10022000	Influenza	5	training
531	10022004	Influenza like illness	5	test
532	10022013	Ingrowing nail	1	training
533	10022016	Inguinal hernia	2	training
534	10022052	Injection site bruising	4	test
535	10022061	Injection site erythema	3	training
536	10022067	Injection site haemorrhage	3	training
537	10022086	Injection site pain	3	test
538	10022093	Injection site pruritus	1	validation
539	10022107	Injection site urticaria	0	test
540	10022116	Injury	9	validation
541	10022437	Insomnia	9	validation
542	10022523	Intentional overdose	5	training
543	10022524	Intentional self-injury	2	test
544	10022562	Intermittent claudication	5	training
545	10022594	International normalised ratio decreased	3	training
546	10022595	International normalised ratio increased	9	training
547	10022611	Interstitial lung disease	8	test
548	10022680	Intestinal ischaemia	4	training
549	10022687	Intestinal obstruction	6	validation
550	10022694	Intestinal perforation	2	training
551	10022972	Iron deficiency anaemia	7	training
552	10022998	Irritability	5	training
553	10023003	Irritable bowel syndrome	7	training
554	10023126	Jaundice	7	validation
555	10023129	Jaundice cholestatic	1	training
556	10023149	Jaw fracture	3	training
557	10023201	Joint contracture	2	test
558	10023204	Joint dislocation	6	training
559	10023215	Joint effusion	6	training
560	10023229	Joint sprain	3	validation
561	10023230	Joint stiffness	6	validation
562	10023232	Joint swelling	8	training
563	10023237	Jugular vein thrombosis	1	training
564	10023379	Ketoacidosis	1	training
565	10023424	Kidney infection	2	test
566	10023439	Kidney transplant rejection	2	training
567	10023469	Knee arthroplasty	2	training
568	10023509	Kyphosis	6	training
569	10023547	Laboratory test abnormal	5	test
570	10023567	Labyrinthitis	0	training
571	10023572	Laceration	6	training
572	10023644	Lacrimation increased	2	training
573	10023676	Lactic acidosis	6	training
574	10023804	Large intestine perforation	2	training
575	10023874	Laryngitis	3	training
576	10024119	Left ventricular failure	2	training
577	10024264	Lethargy	8	test
578	10024378	Leukocytosis	8	training
579	10024382	Leukoencephalopathy	1	training
580	10024384	Leukopenia	9	training
581	10024419	Libido decreased	1	test
582	10024453	Ligament sprain	5	training
583	10024570	Lip swelling	2	training
584	10024574	Lipase increased	3	training
585	10024612	Lipoma	1	test
586	10024648	Livedo reticularis	0	training
587	10024670	Liver disorder	7	validation
588	10024690	Liver function test abnormal	7	test
589	10024738	Lobar pneumonia	6	training
590	10024770	Local swelling	7	training
591	10024774	Localised infection	4	training
592	10024855	Loss of consciousness	8	training
593	10024910	Low density lipoprotein increased	2	training
594	10024968	Lower respiratory tract infection	6	test
595	10025005	Lumbar spinal stenosis	7	training
596	10025080	Lung consolidation	3	training
597	10025082	Lung disorder	7	validation
598	10025102	Lung infiltration	8	training
599	10025197	Lymphadenopathy	8	training
600	10025205	Lymphadenopathy mediastinal	1	test
601	10025256	Lymphocyte count decreased	6	test
602	10025282	Lymphoedema	6	training
603	10025310	Lymphoma	4	training
604	10025327	Lymphopenia	5	validation
605	10025409	Macular degeneration	2	validation
606	10025482	Malaise	7	training
607	10025650	Malignant melanoma	0	test
608	10026749	Mania	5	validation
609	10026865	Mass	6	test
610	10026882	Mastication disorder	4	training
611	10026923	Maternal drugs affecting foetus	0	validation
612	10027091	Medication error	0	training
613	10027141	Melaena	8	training
614	10027145	Melanocytic naevus	2	test
615	10027175	Memory impairment	7	training
616	10027199	Meningitis	1	test
617	10027374	Mental impairment	3	validation
618	10027417	Metabolic acidosis	8	training
619	10027452	Metastases to bone	8	test
620	10027457	Metastases to liver	6	training
621	10027458	Metastases to lung	5	training
622	10027459	Metastases to lymph nodes	2	training
623	10027468	Metastases to spine	6	validation
624	10027566	Micturition urgency	4	training
625	10027590	Middle insomnia	2	training
626	10027599	Migraine	8	validation
627	10027646	Miosis	2	test
628	10027727	Mitral valve incompetence	9	training
629	10027730	Mitral valve prolapse	3	training
630	10027940	Mood altered	2	training
631	10027951	Mood swings	4	training
632	10028024	Mouth haemorrhage	2	training
633	10028034	Mouth ulceration	7	training
634	10028035	Movement disorder	4	training
635	10028116	Mucosal inflammation	8	training
636	10028154	Multi-organ failure	9	training
637	10028200	Multiple fractures	7	training
638	10028224	Multiple injuries	8	training
639	10028228	Multiple myeloma	5	training
640	10028245	Multiple sclerosis	4	test
641	10028289	Muscle atrophy	5	training
642	10028309	Muscle haemorrhage	2	validation
643	10028330	Muscle rigidity	4	training
644	10028334	Muscle spasms	9	training
645	10028335	Muscle spasticity	1	training
646	10028347	Muscle twitching	5	test
647	10028372	Muscular weakness	9	test
648	10028391	Musculoskeletal pain	9	training
649	10028411	Myalgia	7	training
650	10028521	Mydriasis	2	training
651	10028533	Myelodysplastic syndrome	6	test
652	10028596	Myocardial infarction	8	training
653	10028600	Myocardial ischaemia	8	training
654	10028622	Myoclonus	6	test
655	10028641	Myopathy	4	test
656	10028653	Myositis	5	training
657	10028735	Nasal congestion	7	training
658	10028762	Nasal septum deviation	2	validation
659	10028810	Nasopharyngitis	4	training
660	10028813	Nausea	9	training
661	10028836	Neck pain	9	test
662	10028851	Necrosis	0	training
663	10028980	Neoplasm	0	training
664	10028997	Neoplasm malignant	5	training
665	10029148	Nephrolithiasis	8	training
666	10029151	Nephropathy	3	training
667	10029155	Nephropathy toxic	3	training
668	10029159	Nephrosclerosis	1	test
669	10029164	Nephrotic syndrome	2	training
670	10029174	Nerve compression	1	training
671	10029202	Nervous system disorder	2	test
672	10029216	Nervousness	6	training
673	10029223	Neuralgia	7	training
674	10029240	Neuritis	1	test
675	10029279	Neurogenic bladder	1	training
676	10029282	Neuroleptic malignant syndrome	5	training
677	10029328	Neuropathy	2	training
678	10029331	Neuropathy peripheral	9	test
679	10029350	Neurotoxicity	3	training
680	10029354	Neutropenia	9	training
681	10029366	Neutrophil count decreased	8	training
682	10029368	Neutrophil count increased	4	training
683	10029410	Night sweats	6	test
684	10029412	Nightmare	3	training
685	10029446	Nocturia	6	test
686	10029470	Nodal rhythm	0	training
687	10029547	Non-Hodgkin's lymphoma	1	test
688	10029783	Normochromic normocytic anaemia	4	test
689	10029816	Nuclear magnetic resonance imaging abnormal	1	training
690	10029864	Nystagmus	0	training
691	10029883	Obesity	9	training
692	10029898	Obsessive-compulsive disorder	5	test
693	10030041	Ocular hyperaemia	0	training
694	10030094	Odynophagia	4	training
695	10030095	Oedema	9	training
696	10030124	Oedema peripheral	9	validation
697	10030154	Oesophageal candidiasis	4	training
698	10030180	Oesophageal pain	0	training
699	10030194	Oesophageal stenosis	2	training
700	10030201	Oesophageal ulcer	1	training
701	10030216	Oesophagitis	8	test
702	10030302	Oliguria	4	training
703	10030338	Onychomycosis	6	training
704	10030963	Oral candidiasis	8	test
705	10031009	Oral pain	7	training
706	10031123	Orthopnoea	7	training
707	10031127	Orthostatic hypotension	8	training
708	10031149	Osteitis	5	training
709	10031161	Osteoarthritis	9	training
710	10031248	Osteolysis	6	test
711	10031252	Osteomyelitis	9	validation
712	10031264	Osteonecrosis	6	training
713	10031282	Osteoporosis	9	training
714	10031298	Osteosclerosis	6	training
715	10033072	Otitis externa	1	validation
716	10033078	Otitis media	5	test
717	10033132	Ovarian cyst	3	test
718	10033295	Overdose	7	training
719	10033307	Overweight	2	training
720	10033318	Oxygen saturation decreased	7	training
721	10033371	Pain	9	training
722	10033425	Pain in extremity	9	training
723	10033433	Pain in jaw	9	test
724	10033474	Pain of skin	1	training
725	10033546	Pallor	5	training
726	10033553	Palmar-plantar erythrodysaesthesia syndrome	5	training
727	10033557	Palpitations	9	training
728	10033609	Pancreatic carcinoma	3	training
729	10033645	Pancreatitis	8	training
730	10033647	Pancreatitis acute	8	training
731	10033649	Pancreatitis chronic	4	training
732	10033661	Pancytopenia	9	training
733	10033664	Panic attack	6	training
734	10033666	Panic disorder	3	validation
735	10033775	Paraesthesia	8	test
736	10033799	Paralysis	1	training
737	10033864	Paranoia	6	training
738	10034010	Parkinsonism	4	training
739	10034016	Paronychia	1	training
