pair_index	drugbank_pair_group	drug_a_drugbank_id	drug_b_drugbank_id	drug_a_split	drug_b_split	split	unseen_drug_count
280	DB00818|DB01193	DB01193	DB00818	validation	training	validation	1
281	DB00647|DB01193	DB01193	DB00647	validation	training	validation	1
282	DB00863|DB01193	DB01193	DB00863	validation	test	test	1
283	DB01193|DB09072	DB01193	DB09072	validation	training	validation	1
284	DB00421|DB01193	DB01193	DB00421	validation	validation	validation	2
285	DB00370|DB01193	DB01193	DB00370	validation	training	validation	1
286	DB00284|DB01193	DB01193	DB00284	validation	training	validation	1
287	DB00448|DB01193	DB01193	DB00448	validation	training	validation	1
288	DB00381|DB01193	DB01193	DB00381	validation	training	validation	1
289	DB00542|DB01193	DB01193	DB00542	validation	training	validation	1
290	DB00612|DB01193	DB01193	DB00612	validation	training	validation	1
291	DB01193|DB01222	DB01193	DB01222	validation	training	validation	1
292	DB00341|DB01193	DB01193	DB00341	validation	training	validation	1
293	DB01193|DB01211	DB01193	DB01211	validation	training	validation	1
294	DB01193|DB09000	DB01193	DB09000	validation	training	validation	1
295	DB01193|DB13679	DB01193	DB13679	validation	training	validation	1
296	DB00983|DB01193	DB01193	DB00983	validation	training	validation	1
297	DB00996|DB01193	DB01193	DB00996	validation	training	validation	1
298	DB00222|DB01193	DB01193	DB00222	validation	training	validation	1
299	DB00904|DB01193	DB01193	DB00904	validation	training	validation	1
300	DB00555|DB01193	DB01193	DB00555	validation	training	validation	1
301	DB00455|DB01193	DB01193	DB00455	validation	training	validation	1
302	DB01193|DB13872	DB01193	DB13872	validation	test	test	1
303	DB01193|DB13591	DB01193	DB13591	validation	training	validation	1
304	DB01193|DB09220	DB01193	DB09220	validation	training	validation	1
305	DB00526|DB01193	DB01193	DB00526	validation	training	validation	1
306	DB01193|DB06285	DB01193	DB06285	validation	test	test	1
307	DB00715|DB01193	DB01193	DB00715	validation	validation	validation	2
308	DB00758|DB01193	DB01193	DB00758	validation	training	validation	1
309	DB01132|DB01193	DB01193	DB01132	validation	training	validation	1
310	DB00178|DB01193	DB01193	DB00178	validation	validation	validation	2
311	DB00734|DB01193	DB01193	DB00734	validation	training	validation	1
312	DB00938|DB01193	DB01193	DB00938	validation	training	validation	1
313	DB01104|DB01193	DB01193	DB01104	validation	training	validation	1
314	DB00641|DB01193	DB01193	DB00641	validation	test	test	1
315	DB00273|DB01193	DB01193	DB00273	validation	test	test	1
316	DB00519|DB01193	DB01193	DB00519	validation	validation	validation	2
317	DB01193|DB12661	DB01193	DB12661	validation	test	test	1
318	DB00285|DB01193	DB01193	DB00285	validation	training	validation	1
319	DB00425|DB01193	DB01193	DB00425	validation	training	validation	1
320	DB01193|DB01198	DB01193	DB01198	validation	training	validation	1
321	DB00958|DB01193	DB01193	DB00958	validation	training	validation	1
322	DB00213|DB01193	DB01193	DB00213	validation	training	validation	1
323	DB01193|DB13867	DB01193	DB13867	validation	test	test	1
324	DB01095|DB01193	DB01193	DB01095	validation	training	validation	1
325	DB00814|DB01193	DB01193	DB00814	validation	test	test	1
326	DB00175|DB01193	DB01193	DB00175	validation	training	validation	1
327	DB01193|DB13136	DB01193	DB13136	validation	training	validation	1
328	DB01193|DB01224	DB01193	DB01224	validation	training	validation	1
329	DB01193|DB01306	DB01193	DB01306	validation	training	validation	1
330	DB00678|DB01193	DB01193	DB00678	validation	training	validation	1
331	DB00244|DB01193	DB01193	DB00244	validation	training	validation	1
332	DB00790|DB01193	DB01193	DB00790	validation	validation	validation	2
333	DB01193|DB11738	DB01193	DB11738	validation	training	validation	1
334	DB00334|DB01193	DB01193	DB00334	validation	test	test	1
335	DB01193|DB13704	DB01193	DB13704	validation	training	validation	1
336	DB01193|DB01225	DB01193	DB01225	validation	training	validation	1
337	DB00688|DB01193	DB01193	DB00688	validation	test	test	1
338	DB00709|DB01193	DB01193	DB00709	validation	validation	validation	2
339	DB01193|DB01409	DB01193	DB01409	validation	training	validation	1
340	DB00177|DB01193	DB01193	DB00177	validation	training	validation	1
341	DB00481|DB01193	DB01193	DB00481	validation	training	validation	1
342	DB00476|DB01193	DB01193	DB00476	validation	training	validation	1
343	DB01006|DB01193	DB01193	DB01006	validation	test	test	1
344	DB00912|DB01193	DB01193	DB00912	validation	validation	validation	2
345	DB00966|DB01193	DB01193	DB00966	validation	test	test	1
346	DB00577|DB01193	DB01193	DB00577	validation	training	validation	1
347	DB00706|DB01193	DB01193	DB00706	validation	test	test	1
348	DB01193|DB11089	DB01193	DB11089	validation	test	test	1
349	DB01137|DB01193	DB01193	DB01137	validation	training	validation	1
350	DB01128|DB01193	DB01193	DB01128	validation	training	validation	1
351	DB01029|DB01193	DB01193	DB01029	validation	training	validation	1
352	DB00412|DB01193	DB01193	DB00412	validation	training	validation	1
353	DB01193|DB01217	DB01193	DB01217	validation	training	validation	1
354	DB00503|DB01193	DB01193	DB00503	validation	training	validation	1
355	DB00471|DB01193	DB01193	DB00471	validation	training	validation	1
356	DB00989|DB01193	DB01193	DB00989	validation	test	test	1
357	DB00230|DB01193	DB01193	DB00230	validation	training	validation	1
358	DB01048|DB01193	DB01193	DB01048	validation	training	validation	1
359	DB01193|DB13919	DB01193	DB13919	validation	training	validation	1
360	DB01126|DB01193	DB01193	DB01126	validation	training	validation	1
361	DB00533|DB01193	DB01193	DB00533	validation	training	validation	1
362	DB00112|DB01193	DB01193	DB00112	validation	training	validation	1
363	DB00047|DB01193	DB01193	DB00047	validation	test	test	1
364	DB00967|DB01193	DB01193	DB00967	validation	training	validation	1
365	DB01193|DB01610	DB01193	DB01610	validation	training	validation	1
366	DB00736|DB01193	DB01193	DB00736	validation	training	validation	1
367	DB00012|DB01193	DB01193	DB00012	validation	test	test	1
368	DB01098|DB01193	DB01193	DB01098	validation	training	validation	1
369	DB00275|DB01193	DB01193	DB00275	validation	training	validation	1
370	DB01175|DB01193	DB01193	DB01175	validation	test	test	1
371	DB01193|DB09026	DB01193	DB09026	validation	training	validation	1
372	DB00051|DB01193	DB01193	DB00051	validation	training	validation	1
373	DB00973|DB01193	DB01193	DB00973	validation	training	validation	1
374	DB00480|DB01193	DB01193	DB00480	validation	training	validation	1
375	DB01072|DB01193	DB01193	DB01072	validation	test	test	1
376	DB00188|DB01193	DB01193	DB00188	validation	training	validation	1
377	DB01193|DB01261	DB01193	DB01261	validation	test	test	1
378	DB00413|DB01193	DB01193	DB00413	validation	training	validation	1
379	DB01193|DB06643	DB01193	DB06643	validation	test	test	1
380	DB01193|DB18001	DB01193	DB18001	validation	validation	validation	2
381	DB00316|DB01418	DB01418	DB00316	training	training	training	0
382	DB01418|DB06151	DB01418	DB06151	training	training	training	0
383	DB00787|DB01418	DB01418	DB00787	training	test	test	1
384	DB01001|DB01418	DB01418	DB01001	training	test	test	1
385	DB00437|DB01418	DB01418	DB00437	training	training	training	0
386	DB00404|DB01418	DB01418	DB00404	training	test	test	1
387	DB00479|DB01418	DB01418	DB00479	training	training	training	0
388	DB00594|DB01418	DB01418	DB00594	training	validation	validation	1
389	DB01118|DB01418	DB01418	DB01118	training	training	training	0
390	DB00321|DB01418	DB01418	DB00321	training	training	training	0
391	DB01418|DB09020	DB01418	DB09020	training	training	training	0
392	DB01418|DB01558	DB01418	DB01558	training	validation	validation	1
393	DB00887|DB01418	DB01418	DB00887	training	training	training	0
394	DB00921|DB01418	DB01418	DB00921	training	training	training	0
395	DB00136|DB01418	DB01418	DB00136	training	training	training	0
396	DB01373|DB01418	DB01418	DB01373	training	training	training	0
397	DB01418|DB06724	DB01418	DB06724	training	test	test	1
398	DB01418|DB12221	DB01418	DB12221	training	training	training	0
399	DB01197|DB01418	DB01418	DB01197	training	validation	validation	1
400	DB00564|DB01418	DB01418	DB00564	training	training	training	0
401	DB00190|DB01418	DB01418	DB00190	training	validation	validation	1
402	DB01212|DB01418	DB01418	DB01212	training	training	training	0
403	DB01112|DB01418	DB01418	DB01112	training	validation	validation	1
404	DB00878|DB01418	DB01418	DB00878	training	training	training	0
405	DB00310|DB01418	DB01418	DB00310	training	training	training	0
406	DB00537|DB01418	DB01418	DB00537	training	training	training	0
407	DB00515|DB01418	DB01418	DB00515	training	training	training	0
408	DB00215|DB01418	DB01418	DB00215	training	test	test	1
409	DB01190|DB01418	DB01418	DB01190	training	test	test	1
410	DB01242|DB01418	DB01418	DB01242	training	training	training	0
411	DB01068|DB01418	DB01418	DB01068	training	test	test	1
412	DB00575|DB01418	DB01418	DB00575	training	validation	validation	1
413	DB01394|DB01418	DB01418	DB01394	training	training	training	0
414	DB00091|DB01418	DB01418	DB00091	training	validation	validation	1
415	DB01234|DB01418	DB01418	DB01234	training	validation	validation	1
416	DB00829|DB01418	DB01418	DB00829	training	training	training	0
417	DB00586|DB01418	DB01418	DB00586	training	training	training	0
418	DB01396|DB01418	DB01418	DB01396	training	training	training	0
419	DB00390|DB01418	DB01418	DB00390	training	training	training	0
420	DB00343|DB01418	DB01418	DB00343	training	training	training	0
421	DB01418|DB08995	DB01418	DB08995	training	test	test	1
422	DB00975|DB01418	DB01418	DB00975	training	training	training	0
423	DB01418|DB04817	DB01418	DB04817	training	test	test	1
424	DB01184|DB01418	DB01418	DB01184	training	training	training	0
425	DB00997|DB01418	DB01418	DB00997	training	training	training	0
426	DB01127|DB01418	DB01418	DB01127	training	test	test	1
427	DB00584|DB01418	DB01418	DB00584	training	training	training	0
428	DB00977|DB01418	DB01418	DB00977	training	training	training	0
429	DB00813|DB01418	DB01418	DB00813	training	training	training	0
430	DB01195|DB01418	DB01418	DB01195	training	training	training	0
431	DB00196|DB01418	DB01418	DB00196	training	training	training	0
432	DB00544|DB01418	DB01418	DB00544	training	test	test	1
433	DB00472|DB01418	DB01418	DB00472	training	training	training	0
434	DB00158|DB01418	DB01418	DB00158	training	test	test	1
435	DB00695|DB01418	DB01418	DB00695	training	test	test	1
436	DB01016|DB01418	DB01418	DB01016	training	validation	validation	1
437	DB01120|DB01418	DB01418	DB01120	training	validation	validation	1
438	DB00727|DB01418	DB01418	DB00727	training	training	training	0
439	DB00502|DB01418	DB01418	DB00502	training	training	training	0
440	DB01109|DB01418	DB01418	DB01109	training	training	training	0
441	DB00999|DB01418	DB01418	DB00999	training	training	training	0
442	DB01418|DB01611	DB01418	DB01611	training	training	training	0
443	DB01005|DB01418	DB01418	DB01005	training	training	training	0
444	DB00557|DB01418	DB01418	DB00557	training	training	training	0
445	DB01050|DB01418	DB01418	DB01050	training	validation	validation	1
446	DB00808|DB01418	DB01418	DB00808	training	training	training	0
