pair_index	drugbank_pair_group	drug_a_drugbank_id	drug_b_drugbank_id	split
231	DB00544|DB01193	DB01193	DB00544	training
232	DB00472|DB01193	DB01193	DB00472	test
233	DB00158|DB01193	DB01193	DB00158	test
234	DB00695|DB01193	DB01193	DB00695	training
235	DB00674|DB01193	DB01193	DB00674	training
236	DB01016|DB01193	DB01193	DB01016	training
237	DB01120|DB01193	DB01193	DB01120	training
238	DB00727|DB01193	DB01193	DB00727	training
239	DB01109|DB01193	DB01193	DB01109	training
240	DB00999|DB01193	DB01193	DB00999	training
241	DB00956|DB01193	DB01193	DB00956	training
242	DB00741|DB01193	DB01193	DB00741	training
243	DB00557|DB01193	DB01193	DB00557	test
244	DB01050|DB01193	DB01193	DB01050	test
245	DB00808|DB01193	DB01193	DB00808	training
246	DB01193|DB09401	DB01193	DB09401	training
247	DB00883|DB01193	DB01193	DB00883	test
248	DB01009|DB01193	DB01193	DB01009	test
249	DB00598|DB01193	DB01193	DB00598	training
250	DB00581|DB01193	DB01193	DB00581	test
251	DB00650|DB01193	DB01193	DB00650	test
252	DB01193|DB01235	DB01193	DB01235	training
253	DB00186|DB01193	DB01193	DB00186	training
254	DB01043|DB01193	DB01193	DB01043	training
255	DB00371|DB01193	DB01193	DB00371	training
256	DB00331|DB01193	DB01193	DB00331	training
257	DB00563|DB01193	DB01193	DB00563	training
258	DB00959|DB01193	DB01193	DB00959	training
259	DB01193|DB01233	DB01193	DB01233	training
260	DB00264|DB01193	DB01193	DB00264	test
261	DB00916|DB01193	DB01193	DB00916	test
262	DB01193|DB06148	DB01193	DB06148	training
263	DB01193|DB09282	DB01193	DB09282	training
264	DB00295|DB01193	DB01193	DB00295	training
265	DB01193|DB13588	DB01193	DB13588	training
266	DB01193|DB12293	DB01193	DB12293	training
267	DB00622|DB01193	DB01193	DB00622	training
268	DB01115|DB01193	DB01193	DB01115	training
269	DB01165|DB01193	DB01193	DB01165	test
270	DB00338|DB01193	DB01193	DB00338	training
271	DB00842|DB01193	DB01193	DB00842	training
272	DB00497|DB01193	DB01193	DB00497	training
273	DB00806|DB01193	DB01193	DB00806	test
274	DB01193|DB12478	DB01193	DB12478	test
275	DB00761|DB01193	DB01193	DB00761	training
276	DB01193|DB01588	DB01193	DB01588	training
277	DB00860|DB01193	DB01193	DB00860	training
278	DB00635|DB01193	DB01193	DB00635	training
279	DB01039|DB01193	DB01193	DB01039	training
280	DB00818|DB01193	DB01193	DB00818	validation
281	DB00647|DB01193	DB01193	DB00647	training
282	DB00863|DB01193	DB01193	DB00863	training
283	DB01193|DB09072	DB01193	DB09072	training
284	DB00421|DB01193	DB01193	DB00421	training
285	DB00370|DB01193	DB01193	DB00370	training
286	DB00284|DB01193	DB01193	DB00284	test
287	DB00448|DB01193	DB01193	DB00448	training
288	DB00381|DB01193	DB01193	DB00381	test
289	DB00542|DB01193	DB01193	DB00542	training
290	DB00612|DB01193	DB01193	DB00612	training
291	DB01193|DB01222	DB01193	DB01222	training
292	DB00341|DB01193	DB01193	DB00341	test
293	DB01193|DB01211	DB01193	DB01211	test
294	DB01193|DB09000	DB01193	DB09000	training
295	DB01193|DB13679	DB01193	DB13679	training
296	DB00983|DB01193	DB01193	DB00983	training
297	DB00996|DB01193	DB01193	DB00996	training
298	DB00222|DB01193	DB01193	DB00222	test
299	DB00904|DB01193	DB01193	DB00904	training
300	DB00555|DB01193	DB01193	DB00555	test
301	DB00455|DB01193	DB01193	DB00455	training
302	DB01193|DB13872	DB01193	DB13872	validation
303	DB01193|DB13591	DB01193	DB13591	training
304	DB01193|DB09220	DB01193	DB09220	training
305	DB00526|DB01193	DB01193	DB00526	training
306	DB01193|DB06285	DB01193	DB06285	test
307	DB00715|DB01193	DB01193	DB00715	training
308	DB00758|DB01193	DB01193	DB00758	training
309	DB01132|DB01193	DB01193	DB01132	test
310	DB00178|DB01193	DB01193	DB00178	test
311	DB00734|DB01193	DB01193	DB00734	training
312	DB00938|DB01193	DB01193	DB00938	validation
313	DB01104|DB01193	DB01193	DB01104	training
314	DB00641|DB01193	DB01193	DB00641	training
315	DB00273|DB01193	DB01193	DB00273	test
316	DB00519|DB01193	DB01193	DB00519	training
317	DB01193|DB12661	DB01193	DB12661	training
318	DB00285|DB01193	DB01193	DB00285	training
319	DB00425|DB01193	DB01193	DB00425	training
320	DB01193|DB01198	DB01193	DB01198	training
321	DB00958|DB01193	DB01193	DB00958	test
322	DB00213|DB01193	DB01193	DB00213	test
323	DB01193|DB13867	DB01193	DB13867	training
324	DB01095|DB01193	DB01193	DB01095	training
325	DB00814|DB01193	DB01193	DB00814	validation
326	DB00175|DB01193	DB01193	DB00175	training
327	DB01193|DB13136	DB01193	DB13136	training
328	DB01193|DB01224	DB01193	DB01224	training
329	DB01193|DB01306	DB01193	DB01306	training
330	DB00678|DB01193	DB01193	DB00678	training
331	DB00244|DB01193	DB01193	DB00244	validation
332	DB00790|DB01193	DB01193	DB00790	training
333	DB01193|DB11738	DB01193	DB11738	training
334	DB00334|DB01193	DB01193	DB00334	training
335	DB01193|DB13704	DB01193	DB13704	training
336	DB01193|DB01225	DB01193	DB01225	training
337	DB00688|DB01193	DB01193	DB00688	test
338	DB00709|DB01193	DB01193	DB00709	training
339	DB01193|DB01409	DB01193	DB01409	test
340	DB00177|DB01193	DB01193	DB00177	training
341	DB00481|DB01193	DB01193	DB00481	training
342	DB00476|DB01193	DB01193	DB00476	training
343	DB01006|DB01193	DB01193	DB01006	training
344	DB00912|DB01193	DB01193	DB00912	training
345	DB00966|DB01193	DB01193	DB00966	training
346	DB00577|DB01193	DB01193	DB00577	training
347	DB00706|DB01193	DB01193	DB00706	training
348	DB01193|DB11089	DB01193	DB11089	training
349	DB01137|DB01193	DB01193	DB01137	training
350	DB01128|DB01193	DB01193	DB01128	test
351	DB01029|DB01193	DB01193	DB01029	training
352	DB00412|DB01193	DB01193	DB00412	training
353	DB01193|DB01217	DB01193	DB01217	training
354	DB00503|DB01193	DB01193	DB00503	training
355	DB00471|DB01193	DB01193	DB00471	test
356	DB00989|DB01193	DB01193	DB00989	training
357	DB00230|DB01193	DB01193	DB00230	training
358	DB01048|DB01193	DB01193	DB01048	training
359	DB01193|DB13919	DB01193	DB13919	test
360	DB01126|DB01193	DB01193	DB01126	training
361	DB00533|DB01193	DB01193	DB00533	training
362	DB00112|DB01193	DB01193	DB00112	validation
363	DB00047|DB01193	DB01193	DB00047	training
364	DB00967|DB01193	DB01193	DB00967	test
365	DB01193|DB01610	DB01193	DB01610	training
366	DB00736|DB01193	DB01193	DB00736	training
367	DB00012|DB01193	DB01193	DB00012	training
368	DB01098|DB01193	DB01193	DB01098	training
369	DB00275|DB01193	DB01193	DB00275	test
370	DB01175|DB01193	DB01193	DB01175	training
371	DB01193|DB09026	DB01193	DB09026	training
372	DB00051|DB01193	DB01193	DB00051	test
373	DB00973|DB01193	DB01193	DB00973	validation
374	DB00480|DB01193	DB01193	DB00480	training
375	DB01072|DB01193	DB01193	DB01072	test
376	DB00188|DB01193	DB01193	DB00188	test
377	DB01193|DB01261	DB01193	DB01261	training
378	DB00413|DB01193	DB01193	DB00413	validation
379	DB01193|DB06643	DB01193	DB06643	validation
380	DB01193|DB18001	DB01193	DB18001	test
381	DB00316|DB01418	DB01418	DB00316	training
382	DB01418|DB06151	DB01418	DB06151	test
383	DB00787|DB01418	DB01418	DB00787	training
384	DB01001|DB01418	DB01418	DB01001	training
385	DB00437|DB01418	DB01418	DB00437	test
386	DB00404|DB01418	DB01418	DB00404	test
387	DB00479|DB01418	DB01418	DB00479	test
388	DB00594|DB01418	DB01418	DB00594	training
389	DB01118|DB01418	DB01418	DB01118	training
390	DB00321|DB01418	DB01418	DB00321	test
391	DB01418|DB09020	DB01418	DB09020	training
392	DB01418|DB01558	DB01418	DB01558	training
393	DB00887|DB01418	DB01418	DB00887	training
394	DB00921|DB01418	DB01418	DB00921	training
395	DB00136|DB01418	DB01418	DB00136	test
396	DB01373|DB01418	DB01418	DB01373	validation
397	DB01418|DB06724	DB01418	DB06724	training
398	DB01418|DB12221	DB01418	DB12221	test
399	DB01197|DB01418	DB01418	DB01197	training
400	DB00564|DB01418	DB01418	DB00564	training
401	DB00190|DB01418	DB01418	DB00190	training
402	DB01212|DB01418	DB01418	DB01212	training
403	DB01112|DB01418	DB01418	DB01112	training
404	DB00878|DB01418	DB01418	DB00878	validation
405	DB00310|DB01418	DB01418	DB00310	validation
406	DB00537|DB01418	DB01418	DB00537	training
407	DB00515|DB01418	DB01418	DB00515	training
408	DB00215|DB01418	DB01418	DB00215	training
409	DB01190|DB01418	DB01418	DB01190	validation
410	DB01242|DB01418	DB01418	DB01242	training
411	DB01068|DB01418	DB01418	DB01068	training
412	DB00575|DB01418	DB01418	DB00575	training
413	DB01394|DB01418	DB01418	DB01394	test
414	DB00091|DB01418	DB01418	DB00091	training
415	DB01234|DB01418	DB01418	DB01234	training
416	DB00829|DB01418	DB01418	DB00829	test
417	DB00586|DB01418	DB01418	DB00586	test
418	DB01396|DB01418	DB01418	DB01396	training
419	DB00390|DB01418	DB01418	DB00390	training
420	DB00343|DB01418	DB01418	DB00343	test
421	DB01418|DB08995	DB01418	DB08995	validation
422	DB00975|DB01418	DB01418	DB00975	training
423	DB01418|DB04817	DB01418	DB04817	training
424	DB01184|DB01418	DB01418	DB01184	training
425	DB00997|DB01418	DB01418	DB00997	validation
426	DB01127|DB01418	DB01418	DB01127	training
427	DB00584|DB01418	DB01418	DB00584	training
428	DB00977|DB01418	DB01418	DB00977	test
429	DB00813|DB01418	DB01418	DB00813	training
430	DB01195|DB01418	DB01418	DB01195	training
431	DB00196|DB01418	DB01418	DB00196	training
432	DB00544|DB01418	DB01418	DB00544	training
433	DB00472|DB01418	DB01418	DB00472	training
434	DB00158|DB01418	DB01418	DB00158	test
435	DB00695|DB01418	DB01418	DB00695	validation
436	DB01016|DB01418	DB01418	DB01016	training
437	DB01120|DB01418	DB01418	DB01120	test
438	DB00727|DB01418	DB01418	DB00727	training
439	DB00502|DB01418	DB01418	DB00502	training
440	DB01109|DB01418	DB01418	DB01109	validation
441	DB00999|DB01418	DB01418	DB00999	training
442	DB01418|DB01611	DB01418	DB01611	test
443	DB01005|DB01418	DB01418	DB01005	training
444	DB00557|DB01418	DB01418	DB00557	training
445	DB01050|DB01418	DB01418	DB01050	validation
446	DB00808|DB01418	DB01418	DB00808	training
447	DB01418|DB09401	DB01418	DB09401	training
448	DB00883|DB01418	DB01418	DB00883	training
449	DB01009|DB01418	DB01418	DB01009	training
450	DB00581|DB01418	DB01418	DB00581	training
451	DB00650|DB01418	DB01418	DB00650	training
452	DB01235|DB01418	DB01418	DB01235	validation
453	DB00836|DB01418	DB01418	DB00836	training
454	DB00186|DB01418	DB01418	DB00186	training
455	DB01042|DB01418	DB01418	DB01042	training
456	DB01043|DB01418	DB01418	DB01043	training
457	DB00371|DB01418	DB01418	DB00371	training
458	DB00331|DB01418	DB01418	DB00331	training
459	DB00563|DB01418	DB01418	DB00563	test
460	DB00959|DB01418	DB01418	DB00959	training
461	DB01233|DB01418	DB01418	DB01233	validation
462	DB00524|DB01418	DB01418	DB00524	validation
463	DB00264|DB01418	DB01418	DB00264	training
464	DB00916|DB01418	DB01418	DB00916	test
465	DB01110|DB01418	DB01418	DB01110	test
466	DB00683|DB01418	DB01418	DB00683	test
467	DB01418|DB09282	DB01418	DB09282	training
468	DB00295|DB01418	DB01418	DB00295	test
469	DB00332|DB01418	DB01418	DB00332	training
470	DB00788|DB01418	DB01418	DB00788	validation
471	DB00622|DB01418	DB01418	DB00622	test
472	DB01115|DB01418	DB01418	DB01115	training
473	DB01059|DB01418	DB01418	DB01059	training
474	DB00646|DB01418	DB01418	DB00646	training
475	DB00104|DB01418	DB01418	DB00104	training
476	DB01165|DB01418	DB01418	DB01165	training
477	DB00338|DB01418	DB01418	DB00338	validation
478	DB00842|DB01418	DB01418	DB00842	training
479	DB00497|DB01418	DB01418	DB00497	training
480	DB01418|DB09140	DB01418	DB09140	training
481	DB00806|DB01418	DB01418	DB00806	training
482	DB01174|DB01418	DB01418	DB01174	training
483	DB00252|DB01418	DB01418	DB00252	training
484	DB00761|DB01418	DB01418	DB00761	test
485	DB01418|DB01588	DB01418	DB01588	test
486	DB00860|DB01418	DB01418	DB00860	training
487	DB01039|DB01418	DB01418	DB01039	training
488	DB01182|DB01418	DB01418	DB01182	training
489	DB00571|DB01418	DB01418	DB00571	validation
490	DB00863|DB01418	DB01418	DB00863	test
491	DB00811|DB01418	DB01418	DB00811	training
492	DB01045|DB01418	DB01418	DB01045	test
493	DB00795|DB01418	DB01418	DB00795	training
494	DB01418|DB09072	DB01418	DB09072	training
495	DB00489|DB01418	DB01418	DB00489	validation
496	DB00421|DB01418	DB01418	DB00421	training
497	DB00370|DB01418	DB01418	DB00370	training
498	DB00284|DB01418	DB01418	DB00284	training
499	DB00448|DB01418	DB01418	DB00448	test
500	DB00346|DB01418	DB01418	DB00346	validation
501	DB00381|DB01418	DB01418	DB00381	training
502	DB00612|DB01418	DB01418	DB00612	training
503	DB01222|DB01418	DB01418	DB01222	training
504	DB01418|DB13510	DB01418	DB13510	training
505	DB01136|DB01418	DB01418	DB01136	training
506	DB01418|DB04846	DB01418	DB04846	test
507	DB00341|DB01418	DB01418	DB00341	training
508	DB01211|DB01418	DB01418	DB01211	training
509	DB01073|DB01418	DB01418	DB01073	test
510	DB01216|DB01418	DB01418	DB01216	training
511	DB00983|DB01418	DB01418	DB00983	training
512	DB00996|DB01418	DB01418	DB00996	training
513	DB00222|DB01418	DB01418	DB00222	training
514	DB00904|DB01418	DB01418	DB00904	training
515	DB01418|DB12942	DB01418	DB12942	training
516	DB00555|DB01418	DB01418	DB00555	validation
517	DB01418|DB13872	DB01418	DB13872	training
518	DB01418|DB04861	DB01418	DB04861	training
519	DB01418|DB09220	DB01418	DB09220	training
520	DB01418|DB06285	DB01418	DB06285	test
521	DB00715|DB01418	DB01418	DB00715	training
522	DB00758|DB01418	DB01418	DB00758	training
523	DB00881|DB01418	DB01418	DB00881	training
524	DB00178|DB01418	DB01418	DB00178	training
525	DB00734|DB01418	DB01418	DB00734	training
526	DB00243|DB01418	DB01418	DB00243	training
527	DB00938|DB01418	DB01418	DB00938	test
528	DB01104|DB01418	DB01418	DB01104	training
529	DB00641|DB01418	DB01418	DB00641	training
530	DB01418|DB01606	DB01418	DB01606	training
531	DB01418|DB09289	DB01418	DB09289	training
532	DB00273|DB01418	DB01418	DB00273	test
533	DB00214|DB01418	DB01418	DB00214	training
534	DB01418|DB12661	DB01418	DB12661	training
535	DB00285|DB01418	DB01418	DB00285	training
536	DB00425|DB01418	DB01418	DB00425	test
537	DB01198|DB01418	DB01418	DB01198	training
538	DB00958|DB01418	DB01418	DB00958	training
539	DB01088|DB01418	DB01418	DB01088	training
540	DB00213|DB01418	DB01418	DB00213	training
541	DB01418|DB13867	DB01418	DB13867	training
542	DB01095|DB01418	DB01418	DB01095	training
543	DB00176|DB01418	DB01418	DB00176	test
544	DB00007|DB01418	DB01418	DB00007	training
545	DB00175|DB01418	DB01418	DB00175	training
546	DB00654|DB01418	DB01418	DB00654	validation
547	DB00590|DB01418	DB01418	DB00590	training
548	DB01418|DB13136	DB01418	DB13136	training
549	DB00492|DB01418	DB01418	DB00492	training
550	DB01224|DB01418	DB01418	DB01224	training
551	DB01306|DB01418	DB01418	DB01306	training
552	DB00762|DB01418	DB01418	DB00762	test
553	DB00678|DB01418	DB01418	DB00678	training
554	DB00790|DB01418	DB01418	DB00790	test
555	DB01418|DB11738	DB01418	DB11738	training
556	DB00869|DB01418	DB01418	DB00869	training
557	DB00334|DB01418	DB01418	DB00334	training
558	DB01418|DB13704	DB01418	DB13704	training
559	DB01418|DB08813	DB01418	DB08813	training
560	DB01225|DB01418	DB01418	DB01225	training
561	DB01418|DB06779	DB01418	DB06779	training
562	DB00688|DB01418	DB01418	DB00688	training
563	DB00709|DB01418	DB01418	DB00709	training
564	DB01409|DB01418	DB01418	DB01409	training
565	DB00177|DB01418	DB01418	DB00177	validation
566	DB00476|DB01418	DB01418	DB00476	training
567	DB01006|DB01418	DB01418	DB01006	training
568	DB00912|DB01418	DB01418	DB00912	training
569	DB00966|DB01418	DB01418	DB00966	training
570	DB00577|DB01418	DB01418	DB00577	training
571	DB00910|DB01418	DB01418	DB00910	training
572	DB00559|DB01418	DB01418	DB00559	training
573	DB00706|DB01418	DB01418	DB00706	training
574	DB01137|DB01418	DB01418	DB01137	training
575	DB01128|DB01418	DB01418	DB01128	training
576	DB01029|DB01418	DB01418	DB01029	validation
